start_frame,end_frame,start_sec,end_sec,type
10,112,0.42,4.67,dyadic
120,168,5.0,7.0,dyadic
172,224,7.17,9.33,dyadic
226,488,9.42,20.33,other
490,520,20.42,21.67,dyadic
666,1468,27.75,61.17,dyadic
1482,2682,61.75,111.75,dyadic
2684,2728,111.83,113.67,single
2738,3592,114.08,149.67,dyadic
3600,4335,150.0,180.62,dyadic
4346,6696,181.08,279.0,dyadic
6703,6936,279.29,289.0,dyadic
6943,7608,289.29,317.0,dyadic
7614,7832,317.25,326.33,dyadic
7834,8240,326.42,343.33,dyadic
8251,8672,343.79,361.33,dyadic
8676,9266,361.5,386.08,dyadic
9290,11820,387.08,492.5,dyadic
11842,13056,493.42,544.0,dyadic
13062,13220,544.25,550.83,dyadic
13226,13432,551.08,559.67,dyadic
13438,13672,559.92,569.67,dyadic
13698,16544,570.75,689.33,dyadic
16546,16656,689.42,694.0,dyadic
16663,18755,694.29,781.46,dyadic
18778,19095,782.42,795.62,dyadic
19097,19158,795.71,798.25,dyadic
19162,19263,798.42,802.62,dyadic
19265,19768,802.71,823.67,dyadic
19776,19848,824.0,827.0,dyadic
19946,19984,831.08,832.67,dyadic
19992,21041,833.0,876.71,dyadic
21050,21905,877.08,912.71,dyadic
21922,21960,913.42,915.0,single
21985,22056,916.04,919.0,other
22064,22144,919.33,922.67,other
22146,22204,922.75,925.17,single
