start,end,text
0.0,5.72, back. We would only form an acceleration or a rebound of something which would have put
5.72,10.120000000000001, you behind where you were before. And that's the reason why we argued strongly with the
10.120000000000001,16.72," president that he not withdraw those guidelines after 15 days, but that he extend them. And"
16.72,18.22, he did listen.
18.22,22.92," You argued strongly, you said, with the president. Our reporting is that, among other things,"
22.92,28.92," you showed him these models that suggest that even with the current guidelines, the death"
28.92,34.940000000000005," total in the United States could be between 100,000 and 200,000. So why do you think that"
34.940000000000005,38.14, was so convincing?
38.14,41.800000000000004," Well it was quite convincing. The president, his first, as he said multiple times at the"
41.800000000000004,48.52," press conference yesterday, his first goal was to prevent suffering and death. And we"
48.52,54.040000000000006, made it very clear to him that if we pulled back on what we were doing and didn't extend
54.04,56.04," them, there would be more."
