start_frame,end_frame,start_sec,end_sec,type
24,112,0.8,3.73,other
170,205,5.67,6.83,dyadic
242,307,8.07,10.23,dyadic
309,592,10.3,19.73,other
738,1412,24.6,47.07,dyadic
1414,1488,47.13,49.6,other
1578,2262,52.6,75.4,dyadic
2264,2296,75.47,76.53,other
2336,2384,77.87,79.47,other
2392,2424,79.73,80.8,other
2434,3374,81.13,112.47,dyadic
3376,3528,112.53,117.6,other
3530,4170,117.67,139.0,dyadic
4410,4784,147.0,159.47,dyadic
4792,5066,159.73,168.87,dyadic
5122,5248,170.73,174.93,dyadic
5386,6232,179.53,207.73,dyadic
6264,6296,208.8,209.87,other
6352,6392,211.73,213.07,other
6400,6472,213.33,215.73,other
6474,8358,215.8,278.6,dyadic
8360,8392,278.67,279.73,single
8602,9017,286.73,300.57,dyadic
9019,9096,300.63,303.2,single
9208,9248,306.93,308.27,single
9312,9344,310.4,311.47,single
9352,9384,311.73,312.8,single
9392,9472,313.07,315.73,single
9488,9592,316.27,319.73,single
9650,10635,321.67,354.5,dyadic
10792,11032,359.73,367.73,other
11048,11096,368.27,369.87,other
11098,12441,369.93,414.7,dyadic
12488,12528,416.27,417.6,other
12552,12632,418.4,421.07,other
12672,12872,422.4,429.07,other
12944,12976,431.47,432.53,other
13010,13224,433.67,440.8,dyadic
13248,13328,441.6,444.27,single
13450,14309,448.33,476.97,dyadic
14311,14448,477.03,481.6,other
14464,14584,482.13,486.13,dyadic
14592,14712,486.4,490.4,dyadic
14720,15182,490.67,506.07,dyadic
15346,15575,511.53,519.17,dyadic
15722,16484,524.07,549.47,dyadic
16486,16592,549.53,553.07,other
16600,16672,553.33,555.73,other
16698,18458,556.6,615.27,dyadic
18576,18704,619.2,623.47,other
18784,18832,626.13,627.73,other
18834,19340,627.8,644.67,dyadic
19342,19552,644.73,651.73,other
19554,19896,651.8,663.2,dyadic
19904,21584,663.47,719.47,dyadic
21800,21840,726.67,728.0,other
21890,22432,729.67,747.73,dyadic
22512,22592,750.4,753.07,other
22624,22656,754.13,755.2,other
22733,23400,757.77,780.0,dyadic
23408,24325,780.27,810.83,dyadic
24440,24504,814.67,816.8,other
24544,24576,818.13,819.2,other
24578,24616,819.27,820.53,single
24641,24792,821.37,826.4,other
24794,24861,826.47,1036.91,single
